date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:25	84278/84278	---M--	200	added ('OK')	image/jpeg	etag:%2214936-61d067e2dfc6a%22	https://html.vecurosoft.com/garix/demo/assets/img/shop/product-1-5.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shop/product-1-5.jpg	(from https://html.vecurosoft.com/garix/demo/shop.html)
13:40:25	65629/65629	---M--	200	added ('OK')	image/jpeg	etag:%221005d-61d067e2e1baa%22	https://html.vecurosoft.com/garix/demo/assets/img/shop/product-1-6.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shop/product-1-6.jpg	(from https://html.vecurosoft.com/garix/demo/shop.html)
13:40:26	92234/92234	---M--	200	added ('OK')	image/jpeg	etag:%221684a-61d067e2f736a%22	https://html.vecurosoft.com/garix/demo/assets/img/shop/product-1-7.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shop/product-1-7.jpg	(from https://html.vecurosoft.com/garix/demo/shop.html)
13:40:26	83643/83643	---M--	200	added ('OK')	image/jpeg	etag:%22146bb-61d067e2f92aa%22	https://html.vecurosoft.com/garix/demo/assets/img/shop/product-1-8.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shop/product-1-8.jpg	(from https://html.vecurosoft.com/garix/demo/shop.html)
13:40:26	18336/18336	---M--	200	added ('OK')	image/jpeg	etag:%2247a0-61d067d9863c0%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/recent-post-1-1.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/recent-post-1-1.jpg	(from https://html.vecurosoft.com/garix/demo/shop-sidebar.html)
13:40:27	15959/15959	---M--	200	added ('OK')	image/jpeg	etag:%223e57-61d067d992ee0%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/recent-post-1-2.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/recent-post-1-2.jpg	(from https://html.vecurosoft.com/garix/demo/shop-sidebar.html)
13:40:27	18276/18276	---M--	200	added ('OK')	image/jpeg	etag:%224764-61d067d996d60%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/recent-post-1-3.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/recent-post-1-3.jpg	(from https://html.vecurosoft.com/garix/demo/shop-sidebar.html)
13:40:27	4768/4768	---M--	200	added ('OK')	image/png	etag:%2212a0-61d067dfa4a1d%22	https://html.vecurosoft.com/garix/demo/assets/img/product/p-1-1.png	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/product/p-1-1.png	(from https://html.vecurosoft.com/garix/demo/shop-sidebar.html)
13:40:28	5048/5048	---M--	200	added ('OK')	image/png	etag:%2213b8-61d067dfa4a1d%22	https://html.vecurosoft.com/garix/demo/assets/img/product/p-1-2.png	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/product/p-1-2.png	(from https://html.vecurosoft.com/garix/demo/shop-sidebar.html)
13:40:28	3437/3437	---M--	200	added ('OK')	image/png	etag:%22d6d-61d067dfb347c%22	https://html.vecurosoft.com/garix/demo/assets/img/product/p-1-3.png	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/product/p-1-3.png	(from https://html.vecurosoft.com/garix/demo/shop-sidebar.html)
13:40:28	7737/7737	---M--	200	added ('OK')	image/jpeg	etag:%221e39-61d067e306d69%22	https://html.vecurosoft.com/garix/demo/assets/img/shop/r-1-1.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shop/r-1-1.jpg	(from https://html.vecurosoft.com/garix/demo/shop-details.html)
13:40:28	8018/8018	---M--	200	added ('OK')	image/jpeg	etag:%221f52-61d067e308ca9%22	https://html.vecurosoft.com/garix/demo/assets/img/shop/r-1-2.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shop/r-1-2.jpg	(from https://html.vecurosoft.com/garix/demo/shop-details.html)
13:40:29	10210/10210	---M--	200	added ('OK')	image/png	etag:%2227e2-61d067df5c5de%22	https://html.vecurosoft.com/garix/demo/assets/img/others/credit-payment.png	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/others/credit-payment.png	(from https://html.vecurosoft.com/garix/demo/checkout.html)
13:40:29	157/157	---M--	200	added ('OK')	image/svg+xml	etag:%229d-61d067e261ccd%22	https://html.vecurosoft.com/garix/demo/assets/img/shapes/shape-5.svg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shapes/shape-5.svg	(from https://html.vecurosoft.com/garix/demo/appointment.html)
13:40:30	24134/24134	---M--	200	added ('OK')	image/svg+xml	etag:%225e46-61d067e27266d%22	https://html.vecurosoft.com/garix/demo/assets/img/shapes/shape-6.svg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/shapes/shape-6.svg	(from https://html.vecurosoft.com/garix/demo/appointment.html)
13:40:31	335234/335234	---M--	200	added ('OK')	image/jpeg	etag:%2251d82-61d067d8cf9e4%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-5.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-5.jpg	(from https://html.vecurosoft.com/garix/demo/blog.html)
